"date","new_authors","cumulative_authors"
1993-06-12,3,3
1993-06-14,2,5
1993-06-18,8,13
1993-06-19,2,15
1993-07-06,1,16
1993-07-08,3,19
1993-08-16,1,20
1993-08-24,2,22
1993-09-10,2,24
1993-09-22,2,26
1993-10-09,2,28
1993-11-01,1,29
1993-11-04,2,31
1993-11-06,2,33
1993-12-28,2,35
1994-01-05,2,37
1994-01-16,2,39
1994-01-22,2,41
1994-02-24,4,45
1994-04-06,2,47
1994-04-15,2,49
1994-04-21,2,51
1994-04-29,2,53
1994-05-04,2,55
1994-05-20,2,57
1994-05-22,2,59
1994-05-27,2,61
1994-08-13,2,63
1994-08-20,2,65
1994-08-31,2,67
1994-09-05,2,69
1994-09-09,2,71
1994-11-12,2,73
1994-11-13,2,75
1994-11-16,2,77
1994-11-20,2,79
1995-01-08,2,81
1995-01-20,2,83
1995-01-31,2,85
1995-02-04,2,87
1995-02-21,2,89
1995-02-22,2,91
1995-04-06,2,93
1995-04-20,2,95
1995-04-21,2,97
1995-04-26,2,99
1995-06-14,2,101
1995-07-05,2,103
1995-07-10,2,105
1995-07-16,2,107
1995-11-29,2,109
1996-01-05,2,111
1996-01-11,2,113
1996-01-19,2,115
1996-01-22,2,117
1996-03-28,2,119
1996-04-04,2,121
1996-04-05,2,123
1996-04-12,2,125
1996-04-26,2,127
1996-05-31,1,128
1996-06-02,1,129
1996-06-03,2,131
1996-06-26,2,133
1996-06-30,2,135
1996-07-30,2,137
1996-09-17,2,139
1996-09-21,2,141
1996-09-22,2,143
1996-10-29,2,145
1996-11-03,2,147
1996-11-05,2,149
1996-11-27,2,151
1996-12-06,2,153
1996-12-16,2,155
1997-01-04,2,157
1997-01-18,2,159
1997-01-30,2,161
1997-01-31,2,163
1997-02-05,1,164
1997-02-06,3,167
1997-02-08,1,168
1997-02-09,2,170
1997-02-13,2,172
1997-02-14,2,174
1997-03-16,2,176
1997-03-31,2,178
1997-04-20,2,180
1997-05-09,2,182
1997-05-11,2,184
1997-05-20,2,186
1997-05-31,2,188
1997-07-15,2,190
1997-08-15,2,192
1997-08-16,2,194
1997-08-30,2,196
1997-09-12,2,198
1997-09-27,2,200
1997-09-28,2,202
1997-10-31,2,204
1997-11-16,2,206
1997-12-09,2,208
1998-02-20,2,210
1998-03-04,2,212
1998-04-10,2,214
1998-04-15,2,216
1998-04-20,2,218
1998-04-22,2,220
1998-05-14,2,222
1998-05-15,2,224
1998-05-19,2,226
1998-05-20,2,228
1998-06-06,2,230
1998-06-23,2,232
1998-07-08,2,234
1998-08-25,2,236
1998-08-26,2,238
1998-08-27,2,240
1998-08-29,2,242
1998-09-02,2,244
1998-09-08,2,246
1998-09-11,2,248
1998-09-16,2,250
1998-09-17,2,252
1998-09-19,2,254
1998-09-29,2,256
1998-11-09,2,258
1998-11-15,1,259
1998-11-20,1,260
1998-11-26,2,262
1998-11-30,2,264
1998-12-12,2,266
1998-12-14,2,268
1999-01-08,2,270
1999-01-10,2,272
1999-01-13,2,274
1999-01-18,2,276
1999-01-19,2,278
1999-01-20,2,280
1999-01-21,2,282
1999-01-23,2,284
1999-01-28,2,286
1999-02-04,2,288
1999-02-25,2,290
1999-03-11,2,292
1999-03-30,2,294
1999-04-25,2,296
1999-05-07,2,298
1999-05-11,2,300
1999-06-01,2,302
1999-06-17,4,306
1999-07-02,1,307
1999-07-04,1,308
1999-07-05,4,312
1999-07-10,2,314
1999-07-23,1,315
1999-07-24,1,316
1999-07-27,3,319
1999-07-31,2,321
1999-08-08,2,323
1999-08-11,2,325
1999-08-14,2,327
1999-08-21,1,328
1999-08-30,2,330
1999-09-01,4,334
1999-09-03,2,336
1999-09-06,2,338
1999-09-16,2,340
1999-09-25,2,342
1999-10-02,2,344
1999-10-31,2,346
1999-11-05,2,348
1999-11-15,1,349
1999-11-16,1,350
1999-11-28,2,352
1999-12-19,2,354
1999-12-20,2,356
2000-01-01,2,358
2000-01-08,2,360
2000-01-16,2,362
2000-01-17,2,364
2000-02-13,2,366
2000-02-15,2,368
2000-02-17,2,370
2000-02-20,2,372
2000-02-28,2,374
2000-02-29,2,376
2000-03-16,2,378
2000-04-05,2,380
2000-04-06,2,382
2000-05-06,1,383
2000-05-11,2,385
2000-05-14,2,387
2000-05-21,2,389
2000-05-25,2,391
2000-05-31,2,393
2000-06-20,2,395
2000-06-21,2,397
2000-07-04,2,399
2000-07-07,2,401
2000-07-08,2,403
2000-07-09,2,405
2000-07-11,4,409
2000-07-15,2,411
2000-07-18,2,413
2000-07-19,1,414
2000-07-29,1,415
2000-08-02,1,416
2000-08-12,2,418
2000-08-14,2,420
2000-08-23,2,422
2000-08-24,2,424
2000-09-17,2,426
2000-09-24,2,428
2000-09-30,2,430
2000-10-05,1,431
2000-10-09,2,433
2000-10-18,2,435
2000-10-22,2,437
2000-10-23,2,439
2000-10-24,2,441
2000-10-27,2,443
2000-10-29,2,445
2000-10-30,2,447
2000-11-10,2,449
2000-12-09,2,451
2000-12-12,2,453
2000-12-17,2,455
2001-02-08,2,457
2001-02-12,2,459
2001-02-17,2,461
2001-02-20,2,463
2001-03-08,3,466
2001-03-10,2,468
2001-03-13,2,470
2001-03-19,2,472
2001-03-21,2,474
2001-03-23,2,476
2001-03-27,3,479
2001-03-29,2,481
2001-04-08,2,483
2001-04-17,2,485
2001-05-07,2,487
2001-05-15,2,489
2001-05-23,2,491
2001-05-31,2,493
2001-06-05,2,495
2001-06-11,4,499
2001-06-21,4,503
2001-06-22,9,512
2001-06-23,1,513
2001-06-26,2,515
2001-07-17,2,517
2001-07-28,2,519
2001-08-08,2,521
2001-08-17,2,523
2001-08-22,2,525
2001-08-30,2,527
2001-09-02,2,529
2001-09-04,4,533
2001-09-13,2,535
2001-10-06,2,537
2001-10-23,2,539
2001-11-01,1,540
2001-11-03,2,542
2001-11-04,2,544
2001-11-05,2,546
2001-11-11,1,547
2001-11-15,4,551
2001-12-02,2,553
2001-12-07,3,556
2001-12-17,2,558
2001-12-30,2,560
2002-02-05,4,564
2002-02-07,2,566
2002-02-11,2,568
2002-02-18,1,569
2002-02-19,2,571
2002-03-05,2,573
2002-03-11,2,575
2002-03-12,2,577
2002-03-21,2,579
2002-03-22,2,581
2002-04-02,2,583
2002-04-07,1,584
2002-04-09,2,586
2002-04-10,2,588
2002-04-17,2,590
2002-04-18,2,592
2002-04-22,2,594
2002-05-04,2,596
2002-05-07,2,598
2002-05-17,2,600
2002-06-24,4,604
2002-06-25,2,606
2002-06-28,2,608
2002-07-01,2,610
2002-07-08,3,613
2002-07-17,2,615
2002-07-22,2,617
2002-08-12,2,619
2002-08-15,5,624
2002-08-16,1,625
2002-08-21,4,629
2002-08-26,2,631
